uid,name,Staff,HWP,Location,HWP,Attendees,Paid,TranTrai,Upload,Time,Bulk,Complex,Task,Online,Team,Self,People,Assign,Coord,TranSamp,TimeSamp,WQO,WQC,WQM,WQS,created,access,login,Latest,ActivePeriod,Years,Blog,Comment,Footprint,Forum,Invite,InviteAccepted,Pres,Quiz,Sample,Share
6807,MatiasMerlo,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11-Jul-14,31-Dec-69,31-Dec-69,11-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6808,sky zhang,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,11-Jul-14,31-Dec-69,31-Dec-69,11-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6809,Frances Delamain,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,14-Jul-14,31-Dec-69,31-Dec-69,14-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6813,myriam.hamami.mostefi,0,1,Paris,1,19.07142857,1,0,0,2,2,2,2,0,0,0,1,0,1,0,,NA,NA,NA,NA,15-Jul-14,15-Jul-14,15-Jul-14,15-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6815,wendel.o.mota,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,,NA,NA,NA,NA,15-Jul-14,15-Jul-14,15-Jul-14,15-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6830,danilo.t.caixeiro,0,1,Curitiba,1,19.57142857,0,1,1,7,7,7,9,0,1,1,3.5,1,1,0,,NA,NA,NA,NA,15-Jul-14,31-Dec-69,31-Dec-69,15-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6841,lorenz88,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,16-Jul-14,31-Dec-69,31-Dec-69,16-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6883,smartigloo,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jul-14,31-Dec-69,31-Dec-69,19-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6884,panamaniancheeping,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jul-14,31-Dec-69,31-Dec-69,19-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6885,longjumpwindy,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jul-14,31-Dec-69,31-Dec-69,19-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6886,heptathlongoon,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19-Jul-14,31-Dec-69,31-Dec-69,19-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6887,newestfitness,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jul-14,31-Dec-69,31-Dec-69,20-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6888,spindletree,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jul-14,31-Dec-69,31-Dec-69,20-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6889,slatepolevault,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jul-14,31-Dec-69,31-Dec-69,20-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6890,designtheir,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jul-14,31-Dec-69,31-Dec-69,20-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6891,resentfulcatercornered,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,20-Jul-14,31-Dec-69,31-Dec-69,20-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6892,Yean Ling,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,21-Jul-14,21-Jul-14,21-Jul-14,0,0.00,0,0,0,0,0,0,0,1,0,0
6893,clutterexcellent,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,31-Dec-69,31-Dec-69,21-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6894,plubmingfamiliar,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,31-Dec-69,31-Dec-69,21-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6895,repliedlanguid,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,31-Dec-69,31-Dec-69,21-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6896,stuffollie,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,31-Dec-69,31-Dec-69,21-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6897,poddisastrous,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,21-Jul-14,31-Dec-69,31-Dec-69,21-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6900,pillowbottom,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,22-Jul-14,31-Dec-69,31-Dec-69,22-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6901,eva garcia,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,22-Jul-14,22-Jul-14,22-Jul-14,22-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6902,RichSalmon,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,22-Jul-14,31-Dec-69,31-Dec-69,22-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
6918,laughingwatersinc,0,0,FWW,0,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,23-Jul-14,31-Dec-69,31-Dec-69,23-Jul-14,0,0.00,0,0,0,0,0,0,0,0,0,0
